Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1275,106.71373,260.96056,0.23527,3.68063,0.27169,0.62362,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1854,109.23409,235.09139,0.42155,1.87686,0.5328,0.73426,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1449,107.81504,190.85608,0.49988,1.50274,0.66545,0.77507,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1160,105.93276,255.24538,0.22374,4.71065,0.21228,0.51146,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1169,107.21985,201.45709,0.36196,2.36656,0.42255,0.7115,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",2159,102.51969,384.78486,0.18324,6.68036,0.14969,0.55459,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1065,111.24977,157.80767,0.53741,1.19614,0.83602,0.79006,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1648,110.0625,239.44826,0.3612,2.13256,0.46892,0.70307,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1089,109.47842,160.83547,0.52902,1.54346,0.64789,0.80936,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1296,111.66821,357.07073,0.12773,1.70059,0.58803,0.3371,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1097,106.64813,170.13818,0.47623,3.67282,0.27227,0.8471,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1035,112.64541,146.02637,0.60994,2.02858,0.49296,0.82866,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",598,98.94147,113.47625,0.58358,2.41123,0.41473,0.8932,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",942,109.45966,191.59696,0.32247,2.70329,0.36992,0.56071,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1020,104.1451,238.71853,0.22493,2.29621,0.4355,0.43749,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1020,104.1451,238.71853,0.22493,2.29621,0.4355,0.43749,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",773,99.44114,118.70151,0.68941,1.24623,0.80242,0.87099,GL261
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2555,165.92016,208.12269,0.74125,1.44001,0.69444,0.94003,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3429,163.0277,337.32921,0.37868,3.65262,0.27378,0.7323,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2704,167.9179,233.17881,0.62494,1.86184,0.5371,0.81323,LN229
